1,1,1
2,1,2
3,1,3
4,2,4
5,2,2
6,2,5
7,3,3
8,3,6
9,4,3
10,4,7
11,5,3
12,6,8
13,6,9
14,6,10
15,7,3
16,7,6
17,8,4
18,8,2
19,9,8
20,10,8
21,10,4
22,10,10
23,11,3
24,11,7
25,11,6
26,12,3
27,12,11
28,13,1
29,13,2
30,14,7
31,15,8
32,15,4
33,15,6
34,16,7
35,16,10
36,17,7
37,17,6
38,18,10
39,19,3
40,20,8
41,21,8
42,21,3
43,21,7
44,22,9
45,22,7
46,22,10
47,23,10
48,24,7
49,24,12
50,25,7
51,25,6
52,26,7
53,27,7
54,28,6
55,29,4
56,29,12
57,30,7
58,31,7
59,32,7
60,32,12
61,33,4
62,33,6
63,34,2
64,34,3
65,34,7
66,35,7
67,35,6
68,36,7
69,37,13
70,38,3
71,39,3
72,39,6
73,40,7
74,41,7
75,41,14
76,42,8
77,42,9
78,42,7
79,43,7
80,44,8
81,44,4
82,45,3
83,45,7
84,46,7
85,46,6
86,47,9
87,47,10
88,48,1
89,48,2
90,48,15
91,48,6
92,49,7
93,49,6
94,50,9
95,50,10
96,51,8
97,51,7
98,51,10
99,52,3
100,53,7
101,54,2
102,54,3
103,55,7
104,56,4
105,56,2
106,56,5
107,57,7
108,58,7
109,58,6
110,59,7
111,59,16
112,60,4
113,60,2
114,60,5
115,61,7
116,61,10
117,62,7
118,63,3
119,64,3
120,64,6
121,65,3
122,66,12
123,66,10
124,67,7
125,68,3
126,68,6
127,69,3
128,70,8
129,70,3
130,70,9
131,70,11
132,70,10
133,71,8
134,72,3
135,72,7
136,73,7
137,73,15
138,74,7
139,74,6
140,75,3
141,75,7
142,76,12
143,76,10
144,77,13
145,78,7
146,79,7
147,79,10
148,80,7
149,81,9
150,81,7
151,81,6
152,82,7
153,83,7
154,84,3
155,84,7
156,85,7
157,85,6
158,86,4
159,86,7
160,87,2
161,87,3
162,88,3
163,89,8
164,89,10
165,90,7
166,92,7
167,92,10
168,93,3
